Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K2,Q6K3,Q6K4,Benefit1,Benefit2,Benefit3,Tin2,size1,size2,AMED,Quant1,Quant2,Age2,Age3,Edu1,Edu2
19,1,2,0,10,-1,1,530,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,1,3,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,2,1,1,10,-1,-1,90,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,2,2,0,5,1,1,270,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,2,3,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,3,1,0,5,1,1,890,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,3,2,1,10,-1,-1,90,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,3,3,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,4,1,0,10,-1,1,530,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,4,2,1,5,1,-1,890,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,4,3,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
19,1,1,1,5,-1,-1,890,0,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,1,2,0,10,1,1,90,0,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,1,3,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,2,1,1,5,1,1,530,0,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,2,2,0,10,-1,-1,890,0,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,2,3,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,3,1,0,10,-1,-1,270,0,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,3,2,1,5,1,1,530,0,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,3,3,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,4,1,0,10,1,1,90,0,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,4,2,1,5,-1,-1,270,0,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
19,4,3,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
20,1,1,1,5,-1,1,270,0,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,1,2,0,10,-1,1,90,0,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,1,3,0,0,0,0,0,1,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,2,1,0,10,-1,-1,890,0,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,2,2,1,5,1,-1,90,0,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,2,3,0,0,0,0,0,1,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,3,1,0,10,1,1,890,0,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,3,2,1,5,1,-1,90,0,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,3,3,0,0,0,0,0,1,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
20,4,1,1,5,-1,-1,90,0,3,-999,-999,-999,1,0,0,1,0,1,0,0,0,1,0,1,0
